Year,Month,Monthly milk production (in millions of pounds),Number of States,Estimated production USA (in millions of pounds),,
1996,May,11554,20,13570,1.174,
1996,June,10920,20,12826,1.175,
1996,July,10939,20,12804,1.170,
1996,August,10780,20,12618,1.171,
1996,September,10454,20,12236,1.170,
1996,October,10825,20,12708,1.174,
1996,November,10493,20,12318,1.174,
1996,December,11006,20,12921,1.174,
1997,January,11158,20,13126,1.176,
1997,February,10321,20,12141,1.176,
1997,March,11641,20,13694,1.176,
1997,April,11446,20,13406,1.171,
1997,May,11869,20,13902,1.171,
1997,June,11419,20,13375,1.171,
1997,July,11437,20,13319,1.165,
1997,August,11213,20,13059,1.165,
1997,September,10671,20,12427,1.165,
1997,October,10977,20,12814,1.167,
1997,November,10591,20,12362,1.167,
1997,December,11118,20,12978,1.167,
1998,January,11327,20,13282,1.173,
1998,February,10394,20,12188,1.173,
1998,March,11678,20,13694,1.173,
1998,April,11579,20,13510,1.167,
1998,May,12011,20,14015,1.167,
1998,June,11396,20,13296,1.167,
1998,July,11314,20,13162,1.163,
1998,August,11124,20,12942,1.163,
1998,September,10672,20,12415,1.163,
1998,October,11125,20,12956,1.165,
1998,November,10829,20,12611,1.165,
1998,December,11481,20,13370,1.165,
1999,January,11679,20,13628,1.167,
1999,February,10804,20,12607,1.167,
1999,March,12228,20,14270,1.167,
1999,April,11998,20,13938,1.162,
1999,May,12447,20,14458,1.162,
1999,June,11737,20,13633,1.162,
1999,July,11610,20,13444,1.158,
1999,August,11534,20,13357,1.158,
1999,September,11200,20,12970,1.158,
1999,October,11549,20,13412,1.161,
1999,November,11315,20,13140,1.161,
1999,December,11928,20,13854,1.161,
2000,January,12259,20,14263,1.163,
2000,February,11694,20,13606,1.164,
2000,March,12687,20,14761,1.163,
2000,April,12411,20,14390,1.159,
2000,May,12758,20,14791,1.159,
2000,June,12082,20,14008,1.159,
2000,July,12205,20,14117,1.157,
2000,August,11928,20,13798,1.157,
2000,September,11451,20,13246,1.157,
2000,October,11813,20,13708,1.160,
2000,November,11385,20,13212,1.160,
2000,December,11855,20,13758,1.161,
2001,January,12059,20,13998,1.161,
2001,February,11108,20,12894,1.161,
2001,March,12384,20,14375,1.161,
2001,April,12156,20,14078,1.158,
2001,May,12647,20,14646,1.158,
2001,June,12052,20,13957,1.158,
2001,July,12025,20,13877,1.154,
2001,August,11754,20,13564,1.154,
2001,September,11376,20,13129,1.154,
2001,October,11756,20,13611,1.158,
